number;type;tree;bush;diameter;height;description;action
3124;Липа;1;;28;;;Сохранить
3125;Липа;1;;24,28;;двуствол.;Сохранить
3126;Сосна;1;;56;;;Сохранить
3127;Ель;1;;15;;капы, деформ.ствола;Сохранить
3128;Ель;1;;36;;;Сохранить
3129;Сосна;1;;38;;неб.искривл.;Сохранить
3130;Сосна;1;;62;;;Сохранить
3131;Рябина;1;;6-8;;;Сохранить
3132;Ель;1;;17;;;Сохранить
3133;Сосна;1;;53;;;Сохранить
3134;Ель;1;;30;;;Сохранить
3135;Ель;1;;36;;;Сохранить
3136;Сосна;1;;44;;;Сохранить
3137;Ель;1;;33;;;Сохранить
3138;Сосна;1;;74;;;Сохранить
3139;Ель;1;;32;;деформ.ствола;Сохранить
3140;Ель;1;;10;;;Сохранить
3141;Ель;1;;54;;;Сохранить
3142;Сосна;7;;6;;;Сохранить
3143;Рябина;1;;6;;;Сохранить
3144;Сосна;1;;72;;;Сохранить
3145;Сосна;1;;48;;;Сохранить
3146;Ель;1;;12;;сух.вет., выс.крона;Сохранить
3147;Сосна;5;;6;;;Сохранить
3148;Сосна;6;;6;;;Сохранить
3150;Липа;1;;25;;;Сохранить
3151;Ель;1;;30;;;Сохранить
3152;Клен остролистный;1;;20;;искривл., сух.вет.;Сохранить
3153;Ель;1;;18;;;Сохранить
3154;Сосна;1;;42;;;Сохранить
3155;Ель;1;;30;;морозоб.;Сохранить
3156;Сосна;1;;48;;;Сохранить
3157;Сосна;1;;48;;наклон.;Сохранить
3157;Черемуха;1;;14;;;Сохранить
3158;Сосна;1;;46;;наклон.;Сохранить
3159;Липа;1;;22;;вытян.крона, удовлетв.;Сохранить
3160;Ель;1;;36;;вытянут;Сохранить
3161;Липа;1;;16,20,24;;трехствол.;Сохранить
3162;Липа;1;;20,20,24;;трехствол.;Сохранить
3163;Сосна;1;;48;;;Сохранить
3164;Ель;1;;56;;;Сохранить
3165;лещина куст;;1;;;;Сохранить
3166;Липа;1;;30;;слом.вет., сухобоч., искривл.верш.;Сохранить
3167;Сосна;1;;46;;;Сохранить
3168;Дуб;1;;18;;;Сохранить
3169;самосев лиственных пород;;;1-4;;лещина;Сохранить
3169;бузина куст;;1;;;;Сохранить
3170;Сосна;3;;44-50;;2 с искривл.верш.;Сохранить
3171;Липа;1;;22;;искривл.верш.;Сохранить
3172;Липа;1;;34;;;Сохранить
3173;Ель;2;;16-18;;;Сохранить
3174;Сосна;5;;6;;;Сохранить
3175;Сосна;5;;6;;;Сохранить
3176;Липа;1;;18;;;Сохранить
3177;Сосна;2;;32-34;;;Сохранить
3178;Липа;1;;8;;слом.вершина;Сохранить
3179;Сосна;1;;36;;;Сохранить
3180;Липа;1;;12;;;Сохранить
3181;Сосна;1;;33;;;Сохранить
3182;Липа;1;;24;;вершина облом.;Сохранить
3183;Сосна;4;;6;;;Сохранить
3184;Липа;1;;22;;;Сохранить
3185;Липа;1;;18;;дугообр.искривл.;Сохранить
3186;Ольха;1;;8;;;Сохранить
3187;Береза;1;;35;;сух.вет.;Сохранить
3188;Липа;1;;19;;наклон.;Сохранить
3189;Липа;1;;32;;;Сохранить
3190;Ель;2;;10-12;;;Сохранить
3191;Ель;1;;52;;;Сохранить
3192;Липа;1;;34,36;;двуствол.;Сохранить
3192;бузина куст;;1;;;;Сохранить
3193;Ель;1;;10;;;Сохранить
3194;Сосна;9;;6;;;Сохранить
3195;Липа;3;;32-36;;;Сохранить
3196;Рябина;1;;14;;;Сохранить
3197;Ель;1;;16;;сух.вет.;Сохранить
3198;Клен остролистный;1;;14;;искривл.;Сохранить
3199;Ель;2;;6;;;Сохранить
3200;Клен остролистный;1;;8;;;Сохранить
